Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Traffic Type,Traffic Subtype
192.168.1.244-192.168.1.59-19864-43694-6,192.168.1.244,19864.0,192.168.1.59,43694,6.0,07/02/2023 04:07:53 PM,5129499.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3899016258702848,5129499.0,0.0,5129499.0,5129499.0,5129499.0,5129499.0,0.0,5129499.0,5129499.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.3899016258702848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,5129499.0,0.0,5129499.0,5129499.0,Malicious,Mirai,Mirai DDoS SYN
192.168.1.177-192.168.1.59-34308-6728-6,192.168.1.177,34308.0,192.168.1.59,6728,6.0,07/02/2023 04:07:14 PM,2309919.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8658312261165868,2309919.0,0.0,2309919.0,2309919.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,0.4329156130582934,0.4329156130582934,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,Mirai,Mirai DDoS SYN
192.168.1.244-192.168.1.42-53687-53-17,192.168.1.244,53687.0,192.168.1.42,53,17.0,08/02/2023 03:43:56 AM,8897414.0,2.0,0.0,76.0,0.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,8.541807765717095,0.2247844148872919,8897414.0,0.0,8897414.0,8897414.0,8897414.0,8897414.0,0.0,8897414.0,8897414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.2247844148872919,0.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,76.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,8897414.0,0.0,8897414.0,8897414.0,Malicious,Mirai,Mirai DDoS DNS
192.168.1.70-192.168.1.90-32373-0-6,192.168.1.70,32373.0,192.168.1.90,0,6.0,01/01/1970 04:49:03 AM,1458298.0,2.0,1.0,100.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,68.5730899994377,2.0571926999831307,729149.0,942491.3149350502,1395591.0,62707.0,1395591.0,1395591.0,0.0,1395591.0,1395591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,1.371461799988754,0.685730899994377,0.0,50.0,37.5,25.0,625.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0,1.0,0.0,50.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,DoS FIN
192.168.1.90-192.168.1.70-48813-5005-17,192.168.1.90,48813.0,192.168.1.70,5005,17.0,01/01/1970 05:12:32 AM,55084376.0,7.0,0.0,456.0,0.0,72.0,64.0,65.14285714285714,3.0237157840738176,0.0,0.0,0.0,0.0,8.27820941458972,0.1270777761011579,9180729.333333332,2013881.994548108,10005426.0,5069913.0,55084376.0,9180729.333333332,2013881.994548108,10005426.0,5069913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.1270777761011579,0.0,64.0,72.0,65.0,2.8284271247461903,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.28571428571429,65.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,76.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,9180729.333333332,2013881.994548108,10005426.0,5069913.0,Benign,Video,Video RTP
192.168.1.90-192.168.1.3-40197-64738-17,192.168.1.90,40197.0,192.168.1.3,64738,17.0,01/01/1970 06:27:07 AM,70000803.0,15.0,15.0,150.0,150.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,4.285665123012945,0.4285665123012945,2413820.793103448,2542399.0859051445,5006829.0,255.0,70000439.0,5000031.357142858,3784.883386215801,5007085.0,4993997.0,70000406.0,5000029.0,3814.6792384560463,5007193.0,4993940.0,0.0,0.0,0.0,0.0,120.0,120.0,0.2142832561506472,0.2142832561506472,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.333333333333334,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,10.0,0.0,0.0,14.0,8.0,4997464.857142857,2885985.765091911,9997742.0,397.0,5002597.857142856,2549.0204934821168,5006829.0,5000018.0,Benign,Text,Text
192.168.1.70-192.168.1.90-57897-5005-17,192.168.1.70,57897.0,192.168.1.90,5005,17.0,01/01/1970 09:38:23 AM,40017643.0,5.0,0.0,320.0,0.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,7.996472955691068,0.1249448899326729,10004410.75,4537.893518289615,10010999.0,10000638.0,40017643.0,10004410.75,4537.893518289615,10010999.0,10000638.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.1249448899326729,0.0,64.0,64.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,10004410.75,4537.893518289615,10010999.0,10000638.0,Benign,Video,Video RTP
192.168.1.70-192.168.1.90-13185-0-6,192.168.1.70,13185.0,192.168.1.90,0,6.0,01/01/1970 04:53:47 AM,27782.0,1.0,1.0,50.0,0.0,50.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,1799.7264415808795,71.98905766323519,27782.0,0.0,27782.0,27782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,35.99452883161759,35.99452883161759,0.0,50.0,33.33333333333333,28.867513459481287,833.3333333333334,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malicious,DoS,DoS ECN
192.168.1.90-192.168.1.70-47166-8080-6,192.168.1.90,47166.0,192.168.1.70,8080,6.0,02/01/1970 03:44:44 AM,7268501.0,317.0,328.0,137.0,428585.0,137.0,0.0,0.4321766561514201,7.694686601333711,1348.0,0.0,1306.6615853658534,198.07082905119145,58983.5510788263,88.73906738129362,11286.492236024853,107008.9918773414,2392170.0,0.0,7218140.0,22842.21518987344,152855.0307388325,2397224.0,0.0,7264690.0,22216.177370030586,150151.9495822851,2394181.0,1.0,0.0,0.0,0.0,0.0,10948.0,10504.0,43.61284396879081,45.1262234125028,0.0,1348.0,663.6563467492259,668.6085629136946,447037.410401516,1.0,2.0,0.0,166.0,644.0,0.0,0.0,0.0,1.0,664.6852713178295,0.4321766561514195,1306.6615853658536,0.0,0.0,0.0,428025.0,323.0,89561.0,317.0,137.0,328.0,428585.0,65280.0,505.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Benign,Video,Video HTTP
136.162.16.0-255.255.255.1-0-0-0,136.162.16.0,0.0,255.255.255.1,0,0.0,01/01/1970 08:59:21 AM,102488224.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975721854639612,11387580.444444444,16240163.9957564,37679321.0,5333.0,102488224.0,11387580.444444444,16240163.9957564,37679321.0,5333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975721854639612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3377659.5,12527.810842282062,3386518.0,3368801.0,31910968.33333333,9987031.499429464,37679321.0,20378938.0,Benign,Video,Video UDP
