feature_name,importance
num__Flow Duration,0.07483832677944663
num__FWD Init Win Bytes,0.07074996918659524
num__Fwd Packet Length Max,0.07070200702892722
num__Flow IAT Mean,0.05851906912520983
num__Flow Bytes/s,0.05814271349283382
num__Fwd Seg Size Min,0.04827087425319668
num__Flow Packets/s,0.047209769465032705
num__Packet Length Std,0.04612083297972748
num__Flow IAT Std,0.04528265895899977
num__Fwd Header Length,0.04015585867298773
num__Total Fwd Packet,0.0348552281735298
num__Bwd Packet Length Mean,0.03363773819005238
num__Bwd IAT Total,0.032554155808002846
num__Total Length of Bwd Packet,0.031526023264536074
num__Total Bwd packets,0.031315903197347325
num__Bwd Packet Length Max,0.029731298631743418
num__Protocol,0.027536699800339973
num__Active Mean,0.02724246345833601
num__Subflow Fwd Bytes,0.025494150694868992
num__Bwd Packets/s,0.02276961871363305
num__Bwd IAT Mean,0.019941862806047757
num__RST Flag Count,0.0198073165897628
num__Fwd Packet Length Std,0.01257419669750231
num__Bwd Init Win Bytes,0.012561384434011063
num__Bwd Bulk Rate Avg,0.010808835427611897
num__Bwd Packet Length Min,0.01015043333063834
num__Bwd IAT Std,0.009904958260982354
num__Bwd IAT Max,0.00959774034116908
num__Down/Up Ratio,0.006592217542940706
num__Bwd Packet Length Std,0.006136015632759271
num__Subflow Fwd Packets,0.0058417104339482835
num__SYN Flag Count,0.005718748102866529
num__Active Std,0.005667087021537497
num__FIN Flag Count,0.005365647315334121
num__Fwd PSH Flags,0.0014765463255609
num__CWR Flag Count,0.0007061267578069849
num__ECE Flag Count,0.00041123385166109467
num__Fwd URG Flags,8.257925251203625e-05
